mutter 3.20.2-1
nano 2.5.3-2
ncurses 6.0-4
nemo 3.0.5-1
nemo-fileroller 2.8.0-3
nemo-preview 2.8.0-3
nemo-share 2.8.0-3
neon 0.30.1-2
net-snmp 5.7.3-3
net-tools 1.60.20130531git-1
netcdf 4.4.1rc1-1
netctl 1.11-1
nethack 3.6.0-1
nettle 3.2-2
network-manager-applet 1.2.2-1
networkmanager 1.2.2-1
networkmanager-openvpn 1.2.2-1
networkmanager-pptp 1.2.2-1
nfs-utils 1.3.3-3
nfsidmap 0.26-1
nilfs-utils 2.2.4-1
nitrogen 1.5.2-4
nm-connection-editor 1.2.2-1
nmap 7.12-1
nodejs 6.2.2-1
npm 3.9.6-1
npth 1.2-1
nspr 4.12-1
nss 3.24-1
ntfs-3g 2016.2.22-1
ntp 4.2.8.p8-1
numactl 2.0.11-1
numix-frost-themes 3.5.r768-1
numix-icon-theme 0.r1779.e122a2b-1
numix-icon-theme-square 1:0.r82.bb9313e-2
ocl-icd 2.2.9-1
octave 4.0.2-1
openal 1.17.2-2
openblas 0.2.18-1
opencore-amr 0.1.3-2
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.1.0-1
openmpi 1.10.3-1
openresolv 3.8.1-1
openssh 7.2p2-2
openssl 1.0.2.h-1
openvpn 2.3.11-1
optipng 0.7.6-1
opus 1.1.2-1
orbit2 2.14.19-3
orc 0.4.25-2
os-prober 1.71-1
p11-kit 0.23.2-1
p7zip 15.14.1-2
pacaur 4.6.4-1
package-query 1.8.r380-2
packer-combined 20160302_1015-1
pacman 5.0.1-4
pacman-mirrorlist 20160614-1
pam 1.2.1-3
pamac 4.1.0-2
pambase 20130928-1
pango 1.40.1-1
pangomm 2.40.0-1
pangox-compat 0.0.2-2
parted 3.2-4
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.1-1
pcmciautils 018-7
pcre 8.38-3
pcre2 10.21-1
perl 5.24.0-1
perl-clone 0.38-2
perl-curses 1.33-2
perl-data-dump 1.23-1
perl-dbi 1.636-2
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-file-which 1.21-1
perl-ipc-system-simple 1.25-1
perl-term-animation 2.6-2
perl-uri 1.71-1
perl-xml-libxml 2.0124-3
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.44-3
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
pidgin 2.10.12-4
pinentry 0.9.7-2
pixman 0.34.0-1
pkg-config 0.29.1-1
pkgfile 15-1
podofo 0.9.3-2
polkit 0.113-4
polkit-gnome 0.105-3
poppler 0.42.0-1
poppler-glib 0.42.0-1
popt 1.16-8
portmidi 217-5
potrace 1.13-1
powerline 2.4-1
powerline-common 2.4-1
powertop 2.8-2
ppp 2.4.7-2
pptpclient 1.8.0-2
printproto 1.0.5-3
procps-ng 3.3.11-2
protobuf-c 1.2.1-2
protobuf3 3.0.0_beta_3.2-1
psmisc 22.21-3
pulseaudio 8.0-3
pulseaudio-alsa 2-3
pulseaudio-bluetooth 8.0-3
pygobject-devel 3.20.0-2
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
pyqt5-common 5.6-1
python 3.5.1-2
python-atspi 2.20.2-1
python-babel 2.3.4-1
python-cairo 1.10.0-6
python-chardet 2.3.0-2
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-docutils 0.12-3
python-gobject 3.20.0-2
python-imagesize 0.7.1-1
python-jinja 2.8-2
python-markupsafe 0.23-3
python-numpy 1.11.0-1
python-packaging 16.7-1
python-pip 8.1.2-1
python-powerline 2.4-1
python-protobuf3 3.0.0_beta_3.2-1
python-pycups 1.9.73-2
python-pycurl 7.43.0-1
python-pygame 1.9.2pre.20141217-1
python-pygments 2.1.3-1
python-pyparsing 2.1.4-1
python-pytz 2016.4-1
python-requests 2.10.0-1
python-setuptools 1:23.0.0-1
python-simplejson 3.8.2-1
python-six 1.10.0-1
python-snowballstemmer 1.2.1-1
python-sphinx 1.4.4-1
python-sphinx-alabaster-theme 0.7.7-1
python-sphinx_rtd_theme 0.1.9-1
python-termcolor 1.1.0-4
python-urllib3 1.16-1
python-wheel 0.29.0-1
python-xdg 0.25-3
python2 2.7.11-3
python2-apsw 3.12.2-1
python2-atspi 2.20.2-1
python2-cairo 1.10.0-2
python2-chardet 2.3.0-2
python2-cherrypy 5.4.0-1
python2-cssselect 0.9.2-1
python2-cssutils 1.0.1-1
python2-dateutil 2.5.3-1
python2-dbus 1.2.4-1
